,eventID,account_admin,account_dcadmin,account_hacked,account_user101,account_user103,process_c:\windows\system32\hostname.exe,process_c:\windows\system32\ipconfig.exe,process_c:\windows\system32\netsh.exe,process_c:\windows\system32\netstat.exe,process_c:\windows\system32\ping.exe,process_c:\windows\system32\services.exe,process_c:\windows\system32\wbem\wmic.exe,process_c:\windows\system32\wbem\wmiprvse.exe,objectname_psexesvc,target_outlier,target_test,target_train
1,4674,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
4823,4674,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4824,4674,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
9290,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
9295,4674,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
9305,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9306,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9308,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9309,4674,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
9315,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9316,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9318,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9319,4674,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
9321,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9322,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9324,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9325,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9328,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9329,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9330,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9331,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9332,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9333,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9334,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9335,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9336,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9337,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9338,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9339,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9340,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9341,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9342,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9343,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9344,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9345,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9346,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9347,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9348,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9349,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9350,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9351,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9352,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9353,4674,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
9357,4674,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
